df;n
 downtempo;30
 lounge;30
" 
bmore";29
" 
hip house";29
 british blues;29
 dutch house;29
 grime;29
 theme;29
" 
merseybeat";28
" 
surf music";28
 broken beat;28
 dancehall;28
 dubstep;28
 eurodance;28
 gospel;28
 hammond organ;28
 outsider;28
 post-hardcore;28
 slow core;28
 world;28
 xhosa;28
 \childrens music\;27
 acid house;27
 orchestra;27
 riddim;27
 virgin islands reggae;27
" 
canadian singer-songwriter";26
" 
reggae";26
 c86;26
 contemporary gospel;26
 new wave;26
 slow game;26
 sufi;26
 vapor twitch;26
 trip hop;25
" 
big beat";24
" 
canadian psychedelic";24
 british invasion;24
 canadian ccm;24
 comedy;24
 deep big room;24
 delta blues;24
 lo-fi beats;24
 soca;24
 texas blues;24
 ye ye;24
 anthem worship;23
 canadian blues;23
 classic schlager;23
 filmi;23
" 
deep norteno";22
 cabaret;22
 chanson;22
 grupera;22
 quiet storm;22
" 
miami bass";21
" 
new romantic";21
 background music;21
 clean comedy;21
 korean r&b;21
 no wave;21
 show tunes;21
 uk garage;21
 alternative americana;20
 australian house;20
 bass house;20
 chutney;20
 classical organ;20
 classical performance;20
 cosmic american;20
 deep new wave;20
 deep progressive trance;20
 deep ragga;20
 disco house;20
 euro hi-nrg;20
 italo dance;20
 lds;20
 lilith;20
 musica potosina;20
 shoegaze;20
 uk dnb;20
" 
hammond organ";19
" 
neo mellow";19
 enka;19
 instrumental surf;19
 shamanic;19
 tropical house;19
" 
boy band";18
 aussietronica;18
 bboy;18
 cartoon;18
 christmas instrumental;18
 east coast reggae;18
 gospel;18
 old school nederhop;18
 prog quebec;18
 afrobeat;17
 cancion melodica;17
 chamber orchestra;17
 french shoegaze;17
 german soundtrack;17
 miami bass;17
 mod revival;17
 moog;17
 no wave;17
 second line;17
 soundtrack;17
 street band;17
" 
bassline";16
" 
hollywood";16
" 
r&b";16
" 
reggae fusion";16
 barbershop;16
 bass trip;16
 cello;16
 chanson;16
 deep house;16
 dixieland;16
 funana;16
 ninja;16
 scorecore;16
 small room;16
 bolero;15
 brass band;15
 deep euro house;15
 german dance;15
 hardcore techno;15
 hi-nrg;15
 melodic thrash;15
 nursery;15
 schlager;15
 slow core;15
" 
bakersfield sound";14
 \childrens music\;14
 australian indigenous;14
 chicago house;14
 christian relaxative;14
 crossover thrash;14
 glitch;14
 glitch hop;14
 norteno;14
 piano blues;14
 romantico;14
 smooth saxophone;14
 soundtrack;14
 west coast reggae;14
" 
disney";13
" 
doo-wop";13
" 
mellow gold";13
 \australian childrens music\;13
 bubble trance;13
 canadian soundtrack;13
 canterbury scene;13
 chicago drill;13
 french techno;13
 grupera;13
 industrial techno;13
 kids dance party;13
 minimal dub;13
 show tunes;13
 sleep;13
" 
background music";12
" 
canadian celtic";12
" 
dub";12
" 
novelty";12
 dark wave;12
 e6fi;12
 environmental;12
 german shoegaze;12
 icelandic experimental;12
 modern blues;12
 music hall;12
 neo-psychedelic;12
 outsider;12
 plunder;12
 sertanejo universitario;12
 swedish singer-songwriter;12
" 
gospel r&b";11
" 
motown";11
 balkan brass;11
 bhangra;11
 british comedy;11
 dark techno;11
 go-go;11
 scandinavian r&b;11
 taiwan singer-songwriter;11
 vintage swoon;11
" 
acoustic blues";10
" 
classic soundtrack";10
" 
cowboy western";10
 didgeridoo;10
 drum and bass;10
 enka;10
 escape room;10
 fake;10
 finnish edm;10
 german ska;10
 gospel;10
 nightcore;10
 praise;10
 sertanejo;10
 shoegaze;10
 ska revival;10
 strut;10
 traditional ska;10
 turntablism;10
" 
\childrens music\";9
" 
australian talent show";9
" 
big band";9
" 
classic girl group";9
 bluegrass gospel;9
 boogie-woogie;9
 bossa nova;9
 cumbia;9
 euroska;9
 experimental;9
 makossa;9
 no wave;9
 orgcore;9
 progressive psytrance;9
 salsa international;9
 shibuya-kei;9
 spacewave;9
 spanish invasion;9
 vintage gospel;9
 vintage schlager;9
" 
alternative americana";8
" 
celtic";8
" 
cosmic american";8
" 
gospel";8
" 
modern uplift";8
" 
native american";8
 barbershop;8
 british choir;8
 contemporary post-bop;8
 deep eurodance;8
 disney;8
 french soundtrack;8
 garage psych;8
 gbvfi;8
 modern reggae;8
 moog;8
 musica per bambini;8
 neo-progressive;8
 new age;8
 scorecore;8
 stride;8
" 
audiophile vocal";7
" 
belgian dance";7
" 
c86";7
" 
deep freestyle";7
" 
jump blues";7
" 
reggae";7
 classical tenor;7
 exotica;7
 gospel singers;7
 happy hardcore;7
 healing;7
 levenslied;7
 opera;7
 progressive trance;7
 red dirt;7
 riddim;7
 ska mexicano;7
" 
anthem worship";6
" 
canadian ccm";6
" 
deep motown";6
" 
drum and bass";6
" 
house";6
" 
minneapolis sound";6
" 
rare groove";6
 \australian childrens music\;6
 chillstep;6
 deathcore;6
 deep dubstep;6
 destroy techno;6
 eurodance;6
 gabba;6
 kids dance party;6
 memphis blues;6
 red dirt;6
 scottish new wave;6
" 
a cappella";5
" 
comedy";5
" 
deep talent show";5
" 
vintage hollywood";5
 basshall;5
 catstep;5
 christian relaxative;5
 deep progressive trance;5
 deep talent show;5
 easycore;5
 freakbeat;5
 irish singer-songwriter;5
 irish singer-songwriter;5
 new romantic;5
 post-disco;5
 turntablism;5
" 
acid house";4
" 
big beat";4
" 
broken beat";4
" 
chicago drill";4
" 
contemporary gospel";4
" 
deep disco";4
" 
deep new wave";4
" 
hip house";4
" 
hollywood";4
" 
honky tonk";4
" 
idol";4
" 
merseybeat";4
" 
neo-singer-songwriter";4
" 
permanent wave";4
" 
post-disco";4
" 
uk reggae";4
 alternative r&b;4
 ballroom;4
 bboy;4
 c86;4
 cantautor;4
 classic eurovision;4
 dansktop;4
 deep new wave;4
 easy listening;4
 grime;4
 hands up;4
 mbalax;4
 native american spiritual;4
 neue deutsche harte;4
 new americana;4
 new romantic;4
 nueva cancion;4
 progressive trance;4
 skramz;4
 trova;4
" 
acid house";3
" 
australian singer-songwriter";3
" 
boogaloo";3
" 
british invasion";3
" 
canadian blues";3
" 
chamber orchestra";3
" 
chanson";3
" 
classic schlager";3
" 
clean comedy";3
" 
comic";3
" 
deep house";3
" 
deep progressive trance";3
" 
dixieland";3
" 
downtempo";3
" 
filmi";3
" 
freakbeat";3
" 
french shoegaze";3
" 
hammond organ";3
" 
hardcore techno";3
" 
hi-nrg";3
" 
irish singer-songwriter";3
" 
italian disco";3
" 
jump blues";3
" 
k-hop";3
" 
miami bass";3
 boogaloo;3
 ebm;3
 ethereal wave;3
 hyphy;3
 massage;3
 neo r&b;3
 neoclassical;3
 nerdcore;3
 new jack smooth;3
 orchestral performance;3
 progressive house;3
 screamo;3
 uplifting trance;3
 wu fam;3
" 
asmr";2
" 
background music";2
" 
bass trip";2
" 
bboy";2
" 
bluegrass gospel";2
" 
bolero";2
" 
boogie-woogie";2
" 
brass band";2
" 
bubblegum dance";2
" 
cabaret";2
" 
cartoon";2
" 
chillhop";2
" 
contemporary gospel";2
" 
dancehall";2
" 
dark techno";2
" 
deep new wave";2
" 
dixieland";2
" 
east coast reggae";2
" 
german shoegaze";2
" 
german soundtrack";2
" 
gospel";2
" 
gospel singers";2
" 
grupera";2
" 
movie tunes";2
" 
new wave";2
" 
parody";2
" 
r&b";2
" 
scorecore";2
" 
sertanejo";2
" 
show tunes";2
" 
tropical house";2
 canadian blues;2
 deep freestyle;2
 deep vocal house;2
 german techno;2
 hopebeat;2
 jamgrass;2
 lo star;2
 new americana;2
 otacore;2
 psychill;2
 ranchera;2
 vocal trance;2
" 
\australian childrens music\";1
" 
\australian childrens music\";1
" 
\childrens music\";1
" 
ambient psychill";1
" 
anime";1
" 
azonto";1
" 
barbershop";1
" 
bhangra";1
" 
british blues";1
" 
british comedy";1
" 
bubble trance";1
" 
cantautor";1
" 
catstep";1
" 
christian relaxative";1
" 
comedy";1
" 
contemporary post-bop";1
" 
cumbia";1
" 
deep eurodance";1
" 
deep talent show";1
" 
didgeridoo";1
" 
diva house";1
" 
e6fi";1
" 
easycore";1
" 
enka";1
" 
enka";1
" 
environmental";1
" 
eurodance";1
" 
euroska";1
" 
exotica";1
" 
experimental";1
" 
freakbeat";1
" 
funana";1
" 
gabba";1
" 
go-go";1
" 
grime";1
" 
hardcore techno";1
" 
healing";1
" 
hi-nrg";1
" 
honky tonk";1
" 
hopebeat";1
" 
instrumental surf";1
" 
irish singer-songwriter";1
" 
levenslied";1
" 
lo-fi beats";1
" 
lounge";1
" 
memphis blues";1
" 
moog";1
" 
new jack smooth";1
" 
new wave";1
" 
no wave";1
" 
norteno";1
" 
orchestra";1
" 
progressive psytrance";1
" 
progressive trance";1
" 
quiet storm";1
" 
redneck";1
" 
romantico";1
" 
scorecore";1
" 
scottish new wave";1
" 
screamo";1
" 
shamanic";1
" 
small room";1
" 
soca";1
" 
spanish invasion";1
" 
theme";1
" 
turntablism";1
" 
vintage swoon";1
" 
wu fam";1
 alternative r&b;1
 ambient psychill;1
 anime;1
 azonto;1
 cartoon;1
 champeta;1
 chicago hardcore;1
 disco house;1
 diva house;1
 gospel r&b;1
 idol;1
 japanese singer-songwriter;1
 parody;1
 progressive house;1
 rebel blues;1
 talent show;1
 tropical;1
 vallenato;1
 western swing;1
